date,new_price_usd,used_price_usd,used_source
2026-05-09,5600.00,,
2026-05-10,5600.00,,
2026-05-11,5600.00,,
2026-05-12,5600.00,,
2026-05-13,5600.00,,
2026-05-14,5600.00,,
2026-05-15,5600.00,,
2026-05-16,5600.00,,
2026-05-17,5600.00,,
2026-05-18,5600.00,,
2026-05-19,5600.00,,
2026-05-20,5600.00,,
2026-05-21,5600.00,,
2026-05-22,5600.00,,
2026-05-23,5600.00,,
2026-05-24,5600.00,,
2026-05-25,5600.00,,
2026-05-26,5600.00,,
2026-05-27,5600.00,,
2026-05-28,5600.00,,
2026-05-29,5600.00,,
2026-05-30,5600.00,,
2026-05-31,5600.00,,
2026-06-01,5600.00,,
2026-06-02,5600.00,,
2026-06-03,5600.00,,
2026-06-04,5600.00,,
2026-06-05,5600.00,,
2026-06-06,5600.00,,
2026-06-07,5600.00,,
2026-06-08,5600.00,,
2026-06-09,5600.00,,
2026-06-10,5600.00,,
2026-06-11,5600.00,,
2026-06-12,5600.00,,
2026-06-13,5600.00,,
2026-06-14,5600.00,,
2026-06-15,5600.00,,
2026-06-16,5600.00,,
2026-06-17,5600.00,,
2026-06-18,5600.00,,
2026-06-19,5600.00,,
2026-06-20,5600.00,,
2026-06-21,5600.00,,
2026-06-22,5600.00,,
2026-06-23,5600.00,,
2026-06-24,5600.00,,
