date,new_price_usd,used_price_usd,used_source
2026-05-09,3450.00,,
2026-05-10,3450.00,,
2026-05-11,3450.00,,
2026-05-12,3450.00,,
2026-05-13,3450.00,,
2026-05-14,3590.00,,
2026-05-15,3590.00,,
2026-05-16,3590.00,,
2026-05-17,3590.00,,
2026-05-18,3590.00,,
2026-05-19,3590.00,,
2026-05-20,3590.00,,
2026-05-21,3590.00,,
2026-05-22,3590.00,,
2026-05-23,3590.00,,
2026-05-24,3590.00,,
2026-05-25,2565.00,,
2026-05-26,2565.00,,
2026-05-27,2565.00,,
2026-05-28,2565.00,,
2026-05-29,2565.00,,
2026-05-30,2565.00,,
2026-05-31,2565.00,,
2026-06-01,2565.00,,
2026-06-02,2565.00,,
2026-06-03,2565.00,,
2026-06-04,2565.00,,
2026-06-05,2565.00,,
2026-06-06,2565.00,,
2026-06-07,2565.00,,
2026-06-08,2565.00,,
2026-06-09,2565.00,,
2026-06-10,2565.00,,
2026-06-11,2565.00,,
2026-06-12,2565.00,,
2026-06-13,2565.00,,
2026-06-14,2565.00,,
2026-06-15,2565.00,,
2026-06-16,2565.00,,
2026-06-17,2565.00,,
2026-06-18,2565.00,,
2026-06-19,2565.00,,
2026-06-20,2565.00,,
2026-06-21,2565.00,,
2026-06-22,2565.00,,
2026-06-23,2565.00,,
2026-06-24,2565.00,,
2026-06-25,2565.00,,
2026-06-26,2565.00,,
2026-06-27,2565.00,,
2026-06-28,2565.00,,
2026-06-29,2565.00,,
2026-06-30,2565.00,,
2026-07-01,2565.00,,
2026-07-02,2565.00,,
2026-07-03,2565.00,,
2026-07-04,2565.00,,
2026-07-05,2565.00,,
2026-07-06,2565.00,,
2026-07-07,2565.00,,
2026-07-08,2565.00,,
2026-07-09,2565.00,,
2026-07-10,2565.00,,
2026-07-11,2565.00,,
2026-07-12,2565.00,,
2026-07-13,2565.00,,
2026-07-14,2565.00,,
2026-07-15,2565.00,,
2026-07-16,2565.00,,
2026-07-17,2565.00,,
2026-07-18,2565.00,,
2026-07-19,2565.00,,
2026-07-20,2565.00,,
2026-07-21,2565.00,,
2026-07-22,2565.00,,
2026-07-23,2565.00,,
