date,new_price_usd,used_price_usd,used_source
2026-05-09,2900.00,,
2026-05-10,2900.00,,
2026-05-11,2900.00,,
2026-05-12,2900.00,,
2026-05-13,2900.00,,
2026-05-14,2900.00,,
2026-05-15,2900.00,,
2026-05-16,2900.00,,
2026-05-17,2900.00,,
2026-05-18,2900.00,,
2026-05-19,2900.00,,
2026-05-20,2900.00,,
2026-05-21,2900.00,,
2026-05-22,2900.00,,
2026-05-23,2900.00,,
2026-05-24,2900.00,,
2026-05-25,2900.00,,
2026-05-26,2900.00,,
2026-05-27,2900.00,,
2026-05-28,2900.00,,
2026-05-29,2900.00,,
2026-05-30,2900.00,,
2026-05-31,2900.00,,
2026-06-01,2900.00,,
2026-06-02,2900.00,,
2026-06-03,2900.00,,
2026-06-04,2900.00,,
2026-06-05,2900.00,,
2026-06-06,2900.00,,
2026-06-07,2900.00,,
2026-06-08,2900.00,,
2026-06-09,2900.00,,
2026-06-10,2900.00,,
2026-06-11,2900.00,,
2026-06-12,2900.00,,
2026-06-13,2900.00,,
2026-06-14,2900.00,,
2026-06-15,2900.00,,
2026-06-16,2900.00,,
2026-06-17,2900.00,,
2026-06-18,2900.00,,
2026-06-19,2900.00,,
2026-06-20,2900.00,,
2026-06-21,2900.00,,
2026-06-22,2900.00,,
2026-06-23,2900.00,,
2026-06-24,2900.00,,
2026-06-25,2900.00,,
2026-06-26,2900.00,,
2026-06-27,2900.00,,
2026-06-28,2900.00,,
2026-06-29,2900.00,,
