date,new_price_usd,used_price_usd,used_source
2026-05-12,1520.00,,
2026-05-13,1520.00,,
2026-05-14,1600.00,,
2026-05-15,1600.00,,
2026-05-16,1600.00,,
2026-05-17,1600.00,,
2026-05-18,1600.00,,
2026-05-19,1600.00,,
2026-05-20,1600.00,,
2026-05-21,1600.00,,
2026-05-22,1600.00,,
2026-05-23,1600.00,,
2026-05-24,1600.00,,
2026-05-25,1600.00,,
2026-05-26,1600.00,,
2026-05-27,1600.00,,
2026-05-28,1600.00,,
2026-05-29,1600.00,,
2026-05-30,1600.00,,
2026-05-31,1600.00,,
2026-06-01,1600.00,,
2026-06-02,1600.00,,
2026-06-03,1600.00,,
2026-06-04,1600.00,,
2026-06-05,1600.00,,
2026-06-06,1600.00,,
2026-06-07,1600.00,,
2026-06-08,1600.00,,
2026-06-09,1600.00,,
2026-06-10,1600.00,,
2026-06-11,1600.00,,
2026-06-12,1600.00,,
