date,new_price_usd,used_price_usd,used_source
2026-05-09,1399.00,,
2026-05-10,1399.00,,
2026-05-11,1399.00,,
2026-05-12,1399.00,,
2026-05-13,1399.00,,
2026-05-14,1399.00,,
2026-05-15,1399.00,,
2026-05-16,1399.00,,
2026-05-17,1399.00,,
2026-05-18,1399.00,,
2026-05-19,1399.00,,
2026-05-20,1399.00,,
2026-05-21,1399.00,,
2026-05-22,1399.00,,
2026-05-23,1399.00,,
2026-05-24,1399.00,,
2026-05-25,1399.00,,
2026-05-26,1399.00,,
2026-05-27,1399.00,,
2026-05-28,1399.00,,
2026-05-29,1399.00,,
2026-05-30,1399.00,,
2026-05-31,1399.00,,
2026-06-01,1399.00,,
2026-06-02,1399.00,,
2026-06-03,1399.00,,
2026-06-04,1399.00,,
2026-06-05,1399.00,,
2026-06-06,1399.00,,
2026-06-07,1399.00,,
2026-06-08,1399.00,,
2026-06-09,1399.00,,
2026-06-10,1399.00,,
2026-06-11,1399.00,,
2026-06-12,1399.00,,
