date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,0.5,15.0,BTC+FB+NMC,186Th,3441,0.06
2026-05-10,0.5,15.0,BTC+FB+NMC,186Th,3441,0.06
2026-05-11,0.5,15.0,BTC+FB+NMC,186Th,3441,0.06
2026-05-12,0.59,17.7,BTC+FB+NMC,186Th,3441,0.06
2026-05-13,0.59,17.7,BTC+FB+NMC,186Th,3441,0.06
2026-05-14,0.46,13.8,BTC+FB+NMC,186Th,3441,0.06
2026-05-15,0.61,18.3,BTC+FB+NMC,186Th,3441,0.06
2026-05-16,0.21,6.3,BTC+FB+NMC,186Th,3441,0.06
2026-05-17,0.21,6.3,BTC+FB+NMC,186Th,3441,0.06
2026-05-18,0.21,6.3,BTC+FB+NMC,186Th,3441,0.06
2026-05-19,0.02,0.6,BTC+FB+NMC,186Th,3441,0.06
2026-05-21,0.05,1.5,BTC+FB+NMC,186Th,3441,0.06
2026-05-22,0.07,2.1,BTC+FB+NMC,186Th,3441,0.06
